ticker,candle_index,score,ret_1,ret_2,ret_3,ret_6,ret_10
ACGL,1617,83,-0.976,-1.733,-0.362,0.132,0.493
ACN,53,65,-0.577,-1.525,-1.486,-3.675,-3.977
ACN,72,76,0.304,0.979,1.604,6.415,5.773
ACN,209,75,0.161,0.327,0.608,1.305,4.114
ACN,285,52,0.208,0.391,0.186,-0.345,-2.775
ACN,299,61,-0.046,0.999,1.459,1.838,1.725
ACN,349,79,-8.161,-9.255,-10.782,-12.164,-10.315
ACN,362,87,-0.181,-1.599,-0.975,-0.761,-1.976
ACN,387,91,0.726,0.455,0.086,0.906,-0.375
ACN,410,79,-0.282,-0.207,0.473,2.688,0.663
ACN,433,66,-0.618,-0.644,0.749,0.059,-2.626
ACN,436,59,-0.325,-0.381,-0.685,-3.518,-7.407
ACN,455,80,0.32,0.268,-0.024,-0.213,-1.838
ACN,468,44,0.327,-0.131,-0.124,7.176,9.013
ACN,550,64,1.536,1.711,2.046,3.025,4.349
ACN,669,77,-0.025,0.127,0.433,1.26,0.597
ACN,702,51,-0.246,-0.346,-1.047,0.002,0.179
ACN,758,77,0.462,0.413,-0.524,-3.766,-2.318
ACN,786,69,-0.26,-0.945,-0.737,0.726,-0.442
ACN,807,70,0.505,0.396,0.286,0.786,2.329
ACN,903,68,-0.159,0.798,0.714,-1.07,-2.632
ACN,924,94,-1.34,-0.496,-0.414,-7.671,-5.728
ACN,935,93,-0.311,0.536,0.473,-1.386,1.438
ACN,963,83,0.687,0.647,0.326,-1.094,-1.165
ACN,1067,76,0.637,2.156,1.917,2.669,2.173
ACN,1092,78,0.432,0.667,0.517,2.588,0.608
ACN,1107,43,-0.574,-1.76,-2.823,-8.44,-11.434
ACN,1128,86,0.167,-0.344,0.375,1.452,5.146
ACN,1179,79,-0.518,0.067,-0.278,-1.728,-2.901
ACN,1190,81,-0.454,3.166,2.928,0.704,2.041
ACN,1224,58,-0.191,-0.371,-0.725,-1.363,1.12
ACN,1264,59,-0.085,-0.201,0.168,-0.353,-2.193
ACN,1284,60,0.976,1.156,-0.1,0.66,-0.291
ACN,1370,66,0.434,0.339,-0.192,3.617,2.401
ACN,1436,90,-0.496,1.349,1.353,-3.222,-6.696
ACN,1449,72,-1.628,-1.374,-1.91,-0.232,-4.888
ACN,1472,100,0.339,-0.832,0.656,-0.198,1.548
ACN,1508,97,-0.128,-0.52,-1.768,-4.62,-4.318
ACN,1522,73,-0.126,-0.096,0.177,0.278,0.182
ACN,1544,72,0.031,-0.036,0.083,1.402,-1.779
ACN,1568,73,0.312,-0.064,0.496,-1.244,-0.301
ACN,1590,77,1.102,1.888,0.652,0.39,1.657
ACN,1646,92,-0.375,-1.282,-0.583,9.811,14.325
ADBE,74,71,1.277,3.465,3.953,4.492,8.881
ADBE,147,59,-0.963,0.026,0.212,2.676,2.293
ADBE,170,91,0.211,0.186,-1.301,-0.736,-0.789
ADBE,189,64,-0.446,0.381,0.173,-2.578,-4.279
ADBE,191,62,-0.207,-2.97,-3.294,-4.297,-5.181
ADBE,206,77,-0.008,1.091,0.887,1.901,2.944
ADBE,301,97,0.397,0.433,2.672,0.103,0.337
ADBE,330,68,-0.399,-0.624,-0.766,2.747,2.916
ADBE,357,78,-1.25,-0.624,-1.193,-1.132,-2.132
ADBE,374,76,0.278,-1.106,-0.809,-4.174,-3.205
ADBE,385,74,-0.353,-0.349,0.045,-2.358,-0.687
ADBE,393,45,0.818,1.298,1.833,1.448,1.321
ADBE,456,86,-1.393,0.465,0.211,-1.72,-1.32
ADBE,529,64,-0.461,-1.419,-1.397,-7.512,-5.062
ADBE,542,73,0.752,1.18,-0.036,0.926,4.464
ADBE,604,75,0.04,-0.673,-1.453,-2.302,-1.884
ADBE,617,39,-0.541,-0.23,-0.926,-3.358,-3.067
ADBE,629,88,-0.349,-1.553,-2.0,0.717,-1.117
ADBE,656,73,1.176,0.328,-0.83,-0.521,-0.416
ADBE,706,55,0.004,1.183,0.961,2.171,0.26
ADBE,762,93,-0.132,-0.141,-0.867,0.113,-0.741
ADBE,803,78,0.829,2.41,2.718,4.202,5.093
ADBE,898,71,-1.324,-0.933,-2.155,0.51,0.016
ADBE,933,87,0.359,2.538,2.744,1.973,-2.924
ADBE,946,49,0.653,0.647,-3.064,-8.932,-11.245
ADBE,960,98,-1.191,0.545,0.251,0.04,-0.394
ADBE,1062,89,-0.2,-0.64,0.563,-0.206,-2.33
ADBE,1076,72,-0.548,-2.732,-2.851,-4.772,-5.015
ADBE,1091,77,-0.445,-0.229,0.127,1.755,1.411
ADBE,1127,72,2.273,3.723,3.339,4.866,6.639
ADBE,1163,67,-1.143,-1.313,-2.364,-2.177,-3.229
ADBE,1175,65,2.791,2.635,4.133,3.732,2.649
ADBE,1222,75,0.575,3.844,4.722,2.842,4.052
ADBE,1259,73,0.742,1.35,1.329,2.49,0.985
ADBE,1286,73,-0.688,-1.325,-1.645,-1.419,-0.744
ADBE,1374,73,0.766,0.581,0.268,-1.255,-6.978
ADBE,1401,69,2.169,1.698,1.876,2.339,0.185
ADBE,1420,76,-0.554,-0.255,-6.439,-4.386,-8.305
ADBE,1438,88,-1.412,-1.339,-4.172,-5.615,-1.984
ADBE,1445,97,0.218,0.164,0.336,-0.634,0.443
ADBE,1466,78,0.171,0.102,0.465,1.519,2.993
ADBE,1522,82,-0.606,-0.062,0.214,-0.627,-0.829
ADBE,1541,86,0.086,-1.841,1.745,3.352,3.559
ADBE,1590,65,1.095,0.828,0.83,-3.719,-4.004
ADBE,1606,66,1.39,7.212,7.273,0.552,-2.032
ADBE,1640,74,-1.132,-1.685,-2.656,3.426,6.772
ADI,76,84,0.483,2.593,2.642,2.477,3.528
ADI,209,88,0.195,-1.13,-0.805,-0.771,-0.528
ADI,226,77,0.513,0.516,2.207,4.019,6.446
ADI,270,64,0.854,1.375,1.068,1.557,-3.099
ADI,290,98,-0.096,-0.552,0.417,2.104,1.804
ADI,314,55,0.332,1.667,2.536,2.148,-0.62
ADI,360,57,-0.139,-0.21,-0.74,-1.482,-1.714
ADI,396,89,-0.079,-0.269,0.663,2.986,-0.991
ADI,492,61,-0.126,-0.022,0.754,0.485,1.208
ADI,530,85,-3.601,-5.361,-8.874,-13.286,-13.039
ADI,543,74,0.299,0.444,0.674,2.54,5.695
ADI,589,66,0.115,1.803,1.869,2.393,5.62
ADI,650,63,1.733,0.196,0.445,2.429,-2.899
ADI,671,68,0.217,0.553,0.707,-0.164,-3.466
ADI,697,74,0.243,-0.653,0.021,2.013,2.225
ADI,764,73,0.878,1.141,2.071,2.751,2.059
ADI,785,61,-0.097,2.648,1.133,-0.269,2.23
ADI,848,99,0.007,-1.194,-1.703,-2.578,-2.39
ADI,857,56,-0.117,0.029,-0.122,-0.717,2.063
ADI,925,72,0.235,0.776,0.604,-1.859,2.247
ADI,958,96,-12.495,-9.259,-10.529,-9.173,-10.46
ADI,1109,75,-2.031,-2.825,-3.911,-3.821,-4.508
ADI,1121,75,0.361,0.334,1.978,3.964,5.841
ADI,1215,90,1.237,1.254,2.499,3.213,4.67
ADI,1249,71,-0.919,-2.427,-1.971,-5.074,-2.628
ADI,1259,74,0.349,0.513,0.63,4.148,1.798
ADI,1286,64,2.476,3.348,3.113,8.521,13.79
ADI,1366,55,-0.301,-0.499,4.686,3.768,7.069
ADI,1504,71,0.482,1.13,-1.104,-1.098,3.383
ADI,1525,94,1.715,0.762,-0.828,2.9,8.831
ADI,1627,55,2.802,2.353,2.303,-0.828,6.667
ADI,1660,73,-0.641,0.008,-0.114,-0.203,-4.103
ADI,1677,79,0.764,1.043,-1.155,-2.796,-4.411
ADI,1693,77,-1.755,-1.499,2.547,2.705,6.074
ADM,68,88,-0.223,-0.39,-0.474,2.538,1.213
ADM,178,74,-0.2,-0.806,-0.737,-0.42,-0.448
ADM,219,82,-0.498,-0.52,-1.082,-1.53,-24.231
ADM,224,71,-0.742,-0.48,-0.8,-25.095,-22.811
ADM,241,90,-0.392,3.167,5.234,7.224,6.344
ADM,270,82,0.654,0.616,1.185,0.957,0.711
ADM,312,73,-0.404,-0.532,-2.539,-1.872,-0.835
ADM,387,58,-0.375,-0.16,-1.422,-1.677,-3.994
ADM,409,78,1.852,2.326,2.858,3.705,4.004
ADM,445,65,-1.698,-0.721,-0.937,-2.178,-1.794
ADM,471,63,-0.657,0.492,1.704,-0.623,-0.639
ADM,542,71,-0.379,0.62,0.121,1.395,2.773
ADM,588,57,-0.338,0.05,0.745,0.248,1.59
ADM,629,74,0.104,0.76,-0.294,0.518,-2.903
ADM,647,74,0.018,1.379,1.202,-0.919,-2.413
ADM,674,73,0.086,0.22,-0.603,-0.182,0.603
ADM,735,71,-0.019,1.267,1.641,1.92,0.768
ADM,762,74,-0.417,-0.139,0.635,0.891,-0.665
ADM,792,71,1.374,1.753,4.282,1.494,2.073
ADM,854,70,0.217,0.477,0.803,-1.877,-0.445
ADM,904,78,-0.435,3.148,2.517,4.847,-2.485
ADM,935,71,0.52,-0.229,-0.437,-0.25,-0.187
ADM,957,74,1.845,2.867,3.178,4.068,5.706
ADM,1036,69,1.566,1.67,1.211,3.695,13.111
ADM,1182,59,-0.542,-0.793,-1.165,-2.411,-4.821
ADM,1197,86,2.343,2.294,2.925,1.933,-0.32
ADM,1257,87,0.708,1.249,0.9,2.77,2.438
ADM,1318,70,0.234,0.352,0.544,-0.268,-2.649
ADM,1349,69,0.052,0.484,0.561,0.501,1.407
ADM,1471,62,0.152,-0.152,0.588,-1.081,-2.474
ADM,1489,82,0.81,2.186,3.585,6.742,4.151
ADM,1548,72,0.54,-0.353,-0.079,-0.453,3.267
ADM,1640,73,-0.383,0.337,-0.285,-1.103,0.83
ADP,63,98,0.279,0.357,0.361,1.258,3.397
ADP,170,62,-0.203,-0.03,0.086,0.216,0.505
ADP,172,61,0.117,0.436,0.354,0.609,0.311
ADP,321,91,0.291,0.225,-0.143,-0.32,-0.893
ADP,378,59,0.545,0.892,0.733,0.679,-0.48
ADP,404,57,0.422,1.13,1.114,0.405,1.974
ADP,440,64,0.359,1.184,1.237,0.245,-0.114
ADP,460,64,-0.093,0.288,0.694,0.252,-3.655
ADP,487,82,-0.309,0.692,0.728,3.569,5.877
ADP,689,63,-0.023,0.456,0.082,-0.486,1.053
ADP,726,78,-0.778,-0.867,-1.216,-1.753,-2.468
ADP,748,98,-0.068,-0.863,-0.217,0.846,0.722
