rsi,vol,depth,mom,trend,ex_3,ex_6,ex_10
43.4833,0.7241,2.1945,1.0000,-5.1790,-5.714379228739358,-6.617651643918352,-3.2288350137804693
39.5066,1.0501,2.5664,1.0000,-7.0180,0.8279614812836958,-1.3273837075961392,0.49246277771763236
48.0257,0.3478,0.6098,1.0000,-1.5646,0.8278481622088832,7.160559124783929,6.718391974426711
39.2831,0.9706,1.3718,1.0000,-4.7468,1.2565520847013627,4.284289782387731,3.9715144815505905
50.5870,0.7823,0.2981,1.0000,0.1439,2.0705530072106795,3.5315705984350765,3.626009623503583
52.9287,0.9277,0.3994,1.0000,-0.2316,-2.548328791360049,-4.619929586275704,-0.8473774406326754
54.2438,1.1070,0.7105,1.0000,-0.2455,-4.543895973609774,-1.5476253796208406,-0.28113962014371807
51.3353,1.0067,0.7758,1.0000,-1.2448,1.7978202612882914,2.997797504374502,-0.1254804250668665
54.0491,0.7755,0.1327,1.0000,0.9952,-1.1910921119372138,-9.256057965365414,-9.114666180019954
34.4690,1.1340,2.2138,1.0000,-6.2601,-1.2730261004041228,-1.9796321958195895,0.4372625843033814
43.4982,1.6909,1.9827,0.6475,-5.2062,1.0682865200546126,0.3319925653804367,-0.262403677325003
54.2325,1.5636,0.0023,1.0000,1.4086,-0.7004963507492964,-0.330439187277174,1.47408400820616
53.6451,1.2869,0.2958,1.0000,0.4136,-4.131201682408708,-6.839437842233041,-6.737144432367555
33.6181,1.2947,5.8285,1.0000,-14.5999,0.7469619252118368,-0.5793543976561377,0.2659832230910971
50.6386,1.8605,0.8962,1.0000,-1.2837,-0.6783180900927496,3.0615566280501016,3.576926821590602
52.1577,1.7233,1.2871,1.0000,-1.4965,-0.303440753272027,0.40632665844979815,1.125376108772784
54.2457,0.8347,0.2888,1.0000,0.1006,1.3485307257582406,-0.23326873898509076,-2.324326410691742
54.8872,1.1906,0.6016,1.0000,-0.0019,0.0910115844941998,2.1760721707444497,0.595043815967082
58.6222,0.9240,0.2873,1.0000,1.2413,-0.66091419834397,-0.031231955116071172,-2.3466171495364634
56.3113,1.3213,0.1751,1.0000,0.9111,2.6893358419318227,1.0946643536693634,1.771863963700053
46.9323,0.5961,1.0031,1.0000,-2.3595,0.7746177798106882,-4.754823933699068,-6.545717049745177
42.0194,1.5081,3.5060,1.0000,-8.5474,-1.068905102853573,-0.7255847638301871,2.0974871155642267
55.3556,4.7906,3.5152,1.0000,-1.2595,-7.161473947733849,-6.771790166097412,-7.294025066609351
51.8093,0.5328,0.5093,1.0000,0.5979,-1.1516642535612516,0.7758811552519362,2.2604248153764868
43.0025,1.4841,2.8812,1.0000,-6.6260,0.9830502376711073,0.667239339664063,0.20550108997434005
47.4698,1.1920,0.9289,1.0000,-1.6876,2.7552226685653105,1.7141163515884705,-0.2453559070539638
41.9117,0.7944,0.7307,1.0000,-1.9877,-0.6694390064837682,2.2002241180040927,2.1393779395861108
59.8065,1.4827,0.5378,1.0000,1.3792,0.31874401062330115,1.5277077479136225,3.7125533489305846
48.7285,0.6238,1.0796,1.0000,-1.7226,-1.057913318590536,-0.3980778073832992,-0.37411842643880344
37.3439,0.6450,1.8431,1.0000,-4.9002,2.817129010752101,2.6423598135137305,2.4669151134424734
49.2577,1.6545,0.9477,1.0000,-1.3852,-0.052762277219048005,-1.1779925982416484,-0.516382141075629
35.0685,1.9256,2.2041,1.0000,-6.1829,-2.2625995747671377,-3.3659589428035797,-0.34232098588707494
46.0035,4.2772,2.0673,1.0000,-4.8374,4.722962875821119,3.3698830251984746,3.7775528795798303
55.2316,0.6224,0.2727,1.0000,1.5948,-1.8030641976807755,-1.0463726424617326,-1.3036116933403632
52.7122,1.0379,0.2768,1.0000,0.1847,-1.4586643879991807,-0.1585314422738438,-5.374385265747668
47.9765,0.9625,1.0324,1.0000,-2.4971,5.119106019842773,1.7336499841429398,2.603992610647203
47.5353,1.6592,1.1727,1.0000,-3.2932,-0.6187932159555872,-1.696241763155113,-0.8690628767354672
63.8992,1.3338,0.2498,1.0000,4.0617,1.4348463573588826,2.6531752986061163,0.055117266304820195
56.2199,1.0628,0.4872,1.0000,1.2380,4.92476565973678,3.4532448548723527,2.4149083068983597
51.4148,4.7481,1.3058,1.0000,-1.9591,0.4622849647709183,1.3189259455810058,-1.6638350045361805
51.3992,1.5268,0.4492,1.0000,-0.2648,0.6972201210514651,1.3462591293914132,0.46576806459523334
59.6104,1.0839,0.0070,1.0000,1.7790,1.6506212077294502,2.3158539809291048,4.4391802402623455
55.4186,0.8226,0.1200,1.0000,0.4072,-0.013313004386585808,-0.31276364860929406,-0.6096150688103497
53.7456,1.0012,0.1969,1.0000,0.2307,1.982485749193994,3.1181709078051503,4.11458883540589
45.3330,1.8444,1.6114,1.0000,-3.4595,0.5175039581568154,-1.0214955773263263,-1.7174486427704982
45.9561,0.7638,1.1766,1.0000,-2.2412,-0.9858062284094603,-0.4379853353326809,-1.5086775149505027
39.9688,1.0008,0.7243,1.0000,-2.2602,-0.7664732292109865,0.0415719813200647,-1.442112625882792
42.5193,0.8669,0.7234,1.0000,-1.9455,0.24563348814327987,-1.211004389730353,-0.1683578340938308
48.5645,1.1872,0.6280,1.0000,-1.0207,-0.2327366674049335,-2.337073390415901,-2.3415460173316704
45.9815,1.0783,0.7323,1.0000,-1.6204,0.6543689184020908,1.7660704677743715,4.9059265005864034
55.1797,0.8023,0.4518,1.0000,0.0832,-0.08922306776541147,-1.1418148357422504,-2.8619742156637384
52.7205,1.1787,0.2686,1.0000,0.0568,2.3930249471512766,2.1394035884111586,0.9588153378393405
48.0899,0.6953,0.3876,1.0000,-0.7205,-0.515214381094855,-0.8848346020948646,0.843764018284292
48.3266,1.3390,0.3815,1.0000,-1.0710,1.2280379277444387,2.28409206586535,3.3383517105647953
64.8655,2.7815,0.1866,1.0000,3.3493,-1.0376544317883396,-1.29006449444743,-2.0522562190240135
60.1577,1.3911,0.0020,1.0000,1.0833,-0.5894153529773315,-1.5863785590790942,-0.1917843936204711
49.6242,1.1390,0.4485,1.0000,-0.5455,-1.391752468278209,-1.9561569188293777,-2.3975595686765727
44.8933,1.1563,0.6317,1.0000,-1.7232,-1.2433545311030159,0.3206793518500054,-0.13345258228683712
38.4988,1.9505,0.6801,1.0000,-2.4433,1.2438025772087946,1.004295492350659,2.5619801491232486
52.1260,1.1006,0.1210,1.0000,0.1363,-0.7019544659859677,-0.5395414867677814,0.1561336893939713
51.7374,2.2813,0.1100,0.5712,0.1932,-0.294342796923177,-0.9966864367448877,-0.9187983597446614
53.0491,1.9102,0.2962,1.0000,-0.1440,0.3141438909593154,2.5465131672072863,3.890935714626791
38.7415,0.8308,1.6494,1.0000,-4.5746,-1.4932359946459606,2.3652304375812108,3.483188437013045
49.2203,1.4803,0.9595,1.0000,-1.2006,-0.7314554229385116,2.1751534290277865,2.309157481444062
40.9520,0.7354,1.7384,1.0000,-4.9069,1.2169817521869608,1.6912128853211021,2.5909304325197158
